20191310LAC,-130,110,6,229.5
20192010CHO,290,-380,4,206.5
20192010NYK,-1600,900,13,216
20192010MIA,-170,145,4,219.5
20192010UTA,650,-1000,12,227
20192010DEN,145,-170,4,227
20192020DET,120,-140,1,215
20192020ORL,135,-155,1,217.5
20192020CHO,250,-310,6.5,217.5
20192020WAS,-265,215,6.5,230
20192020MIA,105,-125,2.5,204.5
20192020CLE,-240,190,9,210
20192020SAS,500,-700,10,233
20192020GSW,1100,-2500,9.5,236
20192020MIN,105,-125,1,221
20192020UTA,240,-300,6.5,224
20192020PHO,115,-135,2,235
20192020SAC,-160,140,3.5,234
20192030NYK,-140,120,1.5,200
20192030BOS,150,-180,3.5,227
20192030TOR,400,-550,11,229.5
20192040DET,-125,105,4.5,209
20192040WAS,250,-310,5.5,233
20192040BRK,-330,260,7,227.5
20192040NOP,-165,142,1,218
20192040PHO,-400,300,8.5,229.5
20192040SAC,-135,115,2,227.5
20192050IND,-145,125,3.5,217
20192050CLE,-800,550,13,214.5
20192050CHO,140,-160,3,226
20192050NYK,-170,145,3.5,205
20192050OKC,375,-500,10.5,224.5
20192050PHI,105,-125,4,229
20192050MEM,-180,150,1.5,203.5
20192050POR,260,-330,7.5,213
20192060BRK,-165,142,2,221.5
20192060CHI,-125,105,pk,223.5
20192060MIL,600,-900,12,230
20192060DAL,190,-240,4.5,216.5
20192060UTA,1100,-2500,15,221
20192060SAC,-190,160,2,233.5
20192060GSW,1100,-2500,11,233.5
20192070ORL,145,-170,1,218
20192070IND,215,-265,4,217
20192070ATL,-270,220,10,231.5
20192070OKC,850,-1500,13.5,214.5
20192070BOS,350,-450,7.5,224.5
20192070POR,200,-250,4,227.5
20192080PHI,240,-300,4.5,229
20192080WAS,400,-550,10.5,220
20192080DET,290,-380,8.5,206
20192080BRK,300,-400,7.5,223.5
20192080DAL,-250,200,7,222
20192080PHO,-2500,1100,16,231
20192080NOP,190,-240,6,233.5
20192080SAC,140,-160,3,218.5
20192090UTA,275,-350,5,221.5
20192090IND,950,-1800,13.5,211
20192090NYK,-2000,1000,12.5,216.5
20192090ATL,-135,115,2.5,230
20192090MEM,-115,-105,2.5,212
20192090CHI,-135,115,3,222
20192090BOS,700,-1100,12,225.5
20192090HOU,125,-145,1.5,235.5
20192090MIL,220,-270,11.5,223
20192100DAL,-155,135,4.5,219.5
20192100PHI,260,-330,6,234
20192100SAC,350,-450,9.5,228.5
20192100ATL,-120,100,1.5,224
20192100GSW,900,-1600,14.5,222
20192110DET,200,-250,3,220
20192110CLE,100,-120,pk,209.5
20192110IND,190,-240,4,217.5
20192110TOR,450,-650,11,226.5
20192110OKC,170,-200,7,231
20192110HOU,550,-800,10,221
20192110CHI,-800,550,11,229.5
20192110MIN,145,-170,3.5,228.5
20192110DEN,425,-600,8.5,212
20192120ATL,-250,200,5.5,236
20192120NOP,160,-190,4.5,225
20192120PHI,240,-300,5,226
20192120MEM,-320,255,4.5,208
20192120GSW,350,-450,9.5,228
20192130CLE,-350,275,6.5,219.5
20192130IND,-190,160,5.5,219
20192130BOS,145,-170,5,211
20192130TOR,400,-550,11,232.5
20192130NYK,-650,450,10,222.5
20192130CHI,100,-120,1,203.5
20192130DAL,135,-155,2,207
20192130DEN,275,-350,7,229.5
20192130MIN,-180,150,3,232
20192130POR,-130,110,2.5,233
20192130LAC,300,-400,8.5,228
20192140ORL,155,-180,3,215
20192140ATL,267,-330,6,224
20192140NOP,-200,170,4,237
20192210PHI,190,-240,7.5,218
20192210CLE,100,-120,1,219
20192210BRK,-160,140,2,230.5
20192210MIL,210,-260,5,228
20192210LAL,-150,130,2,233
20192210GSW,700,-1100,11.5,239
20192220CHO,180,-220,4,230
20192220IND,180,-220,4.5,220
20192220ORL,290,-380,8,217
20192220TOR,300,-400,8.5,227
20192220NYK,-170,145,7,219.5
20192220ATL,-190,160,4,223
20192220MEM,-155,135,2,214
20192220DAL,-330,260,3,217
20192220OKC,170,-200,3.5,226
20192230PHI,110,-130,3,229.5
20192230CLE,110,-130,2,202.5
20192230WAS,-110,-110,pk,221.5
20192230CHO,135,-155,1.5,226.5
20192230NOP,-270,220,4,233
20192230ATL,130,-150,3.5,233
20192230MIA,140,-160,4,205.5
20192230CHI,-650,450,11.5,221
20192230OKC,200,-250,7.5,238.5
20192230GSW,575,-850,8.5,234.5
20192230MIL,750,-1200,14,230
20192230UTA,575,-850,12.5,213.5
20192240TOR,250,-310,10,219
20192240DEN,375,-500,7.5,232
20192240NYK,-500,375,8,221.5
20192250CLE,-500,375,9.5,221.5
20192250DET,115,-135,2,212.5
20192250CHO,-425,325,7.5,233.5
20192250MIA,290,-380,9.5,214
20192250BRK,100,-120,1,231
20192250CHI,-380,290,11.5,228.5
20192250HOU,700,-1100,10,232
20192250NOP,-140,120,pk,238
20192250MIN,145,-170,2,236
20192250MEM,-220,180,5,220
20192250LAC,145,-170,4,224
20192260NYK,-330,260,6.5,214
20192260TOR,142,-165,4,226
20192260DEN,142,-165,3,237
20192270CHO,-220,180,4,228
20192270ATL,-210,175,4.5,236
20192270BOS,120,-140,3.5,227
20192270BRK,180,-220,4.5,236.5
20192270MIA,-425,325,9,224.5
20192270MEM,135,-155,2,214.5
20192270SAS,155,-185,4,220.5
20192270DAL,-115,-105,pk,216.5
20192270UTA,375,-500,9,228
20192270SAC,-280,230,5,232
20192270LAL,230,-280,4,238.5
20192280IND,140,-160,2.5,221.5
20192280ORL,-200,170,6.5,226
20192280NYK,105,-125,2.5,217.5
20192280HOU,375,-500,8.5,218.5
20192280DEN,255,-320,5,223.5
20192280OKC,155,-185,5.5,238.5
20193010TOR,180,-220,5.5,228
20193010ATL,-115,-105,3.5,231
20193010BRK,125,-145,3,228.5
20193010BOS,425,-600,9.5,231.5
20193010PHO,-200,170,5,237
20193010SAC,135,-155,2.5,240
20193010LAL,-230,185,4.5,236.5
20193020CLE,-425,325,6.5,216.5
20193020IND,135,-155,4.5,210.5
20193020MIA,110,-130,4,220.5
20193020DAL,170,-200,5.5,212
20193020PHI,-210,175,4,234.5
20193020SAS,170,-200,3,230
20193020PHO,-310,250,6.5,232.5
20193020UTA,170,-200,2.5,225
20193020DEN,800,-1400,14,234
20193030CHO,-135,115,3.5,229
20193030BOS,110,-130,3,226
20193030CHI,150,-180,3.5,230.5
20193030LAC,450,-650,10.5,230.5
20193030CLE,-260,210,6,215
20193030DET,-135,115,5.5,219
20193030WAS,-110,-110,pk,239
20193030OKC,425,-600,9,219
20193040BRK,190,-240,4,224
20193040MIA,375,-500,7.5,225
20193040SAS,105,-125,1,228
20193040PHO,-1400,800,13.5,234.5
20193040UTA,400,-550,9,230.5
20193040SAC,550,-800,12.5,231.5
20193040LAL,145,-170,4.5,237.5
20193050PHI,160,-190,4.5,221
20193050IND,240,-300,8.5,220
20193050TOR,140,-160,4.5,228
20193050MEM,-240,190,6,215.5
20193050MIN,-130,110,2.5,234
20193050GSW,240,-300,7.5,229.5
20193060CHO,145,-170,1.5,219.5
20193060WAS,190,-240,4.5,231.5
20193060DET,170,-200,4,224
20193060ATL,-260,210,6.5,232.5
20193060BRK,400,-550,9.5,225.5
20193060NOP,-210,175,3,231.5
20193060CHI,-180,150,6,227
20193060PHO,150,-180,3.5,225
20193060SAC,-130,110,1.5,229
20193060LAL,-220,180,5,228
20193070MIL,450,-650,10,222.5
20193070POR,145,-170,3.5,234
20193080CHO,150,-180,3,234
20193080ORL,240,-300,5.5,213.5
20193080MEM,-200,170,6.5,213.5
20193080MIA,340,-440,8.5,213
20193080NOP,-450,350,4,232.5
20193080HOU,300,-400,6.5,231.5
20193080CHI,-170,145,3,218
20193080GSW,230,-280,5.5,233
20193080LAC,110,-130,1,236
20193090NYK,-250,200,4.5,228
20193090ATL,-200,170,2.5,235
20193090MIN,240,-300,6.5,243
20193090LAL,-320,255,5.5,226.5
20193090MIL,650,-1000,13.5,228
20193090POR,650,-1000,12.5,229.5
20193100DET,350,-450,8,219
20193100MIA,105,-125,1,216.5
20193100PHI,225,-275,4,221
20193100ATL,100,-120,1,238.5
20193100MEM,-110,-110,2,207.5
20193100DAL,-450,350,8,223.5
20193100SAS,-140,120,2,227.5
20193100MIN,225,-275,11.5,227
20193100GSW,1500,-5000,17,234.5
20193110CLE,-450,350,10.5,222
20193110WAS,110,-130,1,241.5
20193110BRK,110,-130,2.5,221
20193110HOU,425,-600,9,225.5
20193110UTA,145,-170,4,227.5
20193110LAC,-130,110,1.5,226
20193120IND,600,-900,11.5,212
20193120PHI,1100,-2500,13.5,222.5
20193120NOP,-650,450,9,237.5
20193120CHI,-130,110,1,226.5
20193120DAL,-160,140,5,218
20193120DEN,400,-550,10,227.5
20193120LAC,-180,150,1.5,231.5
20193130MIA,110,-130,1.5,212.5
20193130WAS,110,-130,3,226
20193130ATL,-115,-105,pk,221
20193130OKC,230,-280,7,230.5
20193130HOU,150,-180,3,230.5
20193130PHO,-400,300,7,222.5
20193140ORL,300,-400,7,210.5
20193140IND,-110,-110,1,222
20193140BOS,290,-380,8.5,228.5
20193140TOR,250,-310,9.5,231
20193140UTA,320,-420,7,222
20193140DEN,575,-850,10,219
20193150DET,750,-1200,10,221
20193150PHI,500,-700,9,229.5
20193150WAS,135,-155,4,232
20193150HOU,700,-1100,14,225
20193150NOP,-440,340,7,235.5
20193150MIA,-240,190,6,221
20193150SAS,800,-1400,13,216.5
20193150LAC,325,-425,8.5,229
20193160BOS,500,-700,10.5,231.5
20193160WAS,105,-125,3.5,224
20193160NOP,160,-190,1,232.5
20193160OKC,105,-125,1,231.5
20193160SAS,125,-145,1.5,227
20193160DAL,180,-220,6.5,215.5
20193160DEN,250,-310,7.5,215
20193160UTA,340,-440,8.5,221
20193170NYK,-210,175,4,219
20193170MIA,135,-155,4,215
20193170MIL,210,-260,6.5,231
20193170DET,-110,-110,pk,216
20193170ORL,325,-425,7,225
20193170SAC,230,-280,6.5,233
20193170HOU,425,-600,8,227
20193170LAC,210,-260,5.5,231
20193180CLE,-260,210,6.5,214
20193180WAS,-240,190,4,228.5
20193180BOS,170,-200,2.5,222.5
20193180TOR,750,-1200,13,212
20193180OKC,190,-240,4.5,210.5
20193180SAS,-150,130,3,225.5
20193180DAL,175,-210,3.5,230
20193180PHO,120,-140,2.5,229
20193180POR,175,-210,2.5,213.5
20193190CHO,100,-120,1.5,223.5
20193190ATL,-425,325,8,232.5
20193190MIN,-300,240,6.5,230.5
20193190MIL,550,-800,13.5,236.5
20193190SAC,135,-155,2.5,230.5
20193190LAC,185,-230,4,220
20193200CLE,-260,210,10,230
20193200ORL,400,-550,6,226
20193200PHI,145,-170,2,226
20193200NYK,-1400,800,12,211.5
20193200CHI,-180,150,2,234.5
20193200MEM,-260,210,5,217.5
20193200SAS,210,-260,5.5,210.5
20193200OKC,180,-220,2.5,225
20193200POR,425,-600,8.5,217.5
20193210CHO,210,-260,3,222
20193210WAS,-400,300,5,228.5
20193210ATL,-330,260,7.5,228
20193210SAC,350,-450,6.5,230.5
20193210PHO,-300,240,5.5,218.5
20193210GSW,500,-700,11,220.5
20193220ORL,500,-700,5,208.5
20193220NYK,-900,600,11.5,214.5
20193220CLE,-300,240,7,228
20193220TOR,115,-135,2.5,226.5
20193220HOU,220,-270,5.5,220
20193220MIL,270,-340,9.5,220
20193220LAL,-140,120,pk,228.5
20193230CHO,-180,150,3.5,222
20193230WAS,100,-120,pk,221.5
20193230ATL,-330,260,8,235.5
20193230MEM,-105,-115,1,216.5
20193230CHI,-750,525,10.5,220.5
20193230GSW,800,-1400,16,225.5
20193230POR,190,-240,4,216.5
20193230SAC,450,-650,9.5,230
20193240NYK,-450,350,8.5,222
20193240MIL,900,-1600,13,224
20193240IND,-125,105,2.5,212
20193240TOR,600,-900,9,220.5
20193240NOP,-550,400,7.5,230.5
20193240BOS,-135,115,3,220.5
20193240GSW,425,-600,9,220.5
20193240LAL,-110,-110,1,232.5
20193250ORL,115,-135,3,219.5
20193250MEM,-350,275,5,219.5
20193250UTA,900,-1600,15,217.5
20193250POR,210,-260,5.5,225.5
20193260CLE,-250,200,6.5,220
20193260CHO,-190,160,3,220.5
20193260MIA,142,-165,4.5,206
20193260TOR,1000,-2000,13,222.5
20193260MIN,-150,130,1.5,231.5
20193260NOP,-145,125,2,240
20193260MIL,125,-145,4.5,227
20193260DAL,-130,110,3.5,225.5
20193260DEN,275,-350,7,211.5
20193260LAL,125,-145,pk,232.5
20193270OKC,240,-300,6,216.5
20193270MEM,-600,425,9.5,219.5
20193270CHI,-450,350,7.5,218
20193270PHO,-120,100,2.5,231
20193270UTA,1000,-2000,15.5,221
20193280PHI,255,-320,7.5,230.5
20193280DET,135,-155,3,206.5
20193280NYK,-600,425,12,217
20193280MIA,220,-270,7.5,208.5
20193280NOP,-265,215,6.5,239.5
20193280MIL,450,-650,9,232.5
20193280HOU,220,-270,4.5,218
20193280SAS,650,-1000,13,218
20193290BOS,240,-300,6.5,214.5
20193290ATL,-145,125,4,232.5
20193290OKC,170,-200,4,221
20193290MIN,-650,450,9.5,230
20193290UTA,850,-1500,12,226.5
20193290LAL,-125,105,pk,225.5
20193300LAC,316,-399,11,228.5
20193300BRK,166,-195,4.5,221.5
20193300HOU,394,-515,9,227.5
20193300DET,172,-203,3.5,215
20193300IND,105,-125,2,204.5
20193300NYK,-300,245,7,208.5
20193300MIN,-190,163,4,230
20193300CHI,-540,410,10,215
20193300PHO,-130,110,2,220
20193310ATL,-135,115,8.5,235
20193310OKC,700,-1100,12,224
20193310NOP,135,-155,4,235
20193310SAS,450,-650,7.5,227
20193310DEN,500,-700,11,226.5
20193310GSW,600,-900,12,229.5
20193310LAC,425,-600,9,221
20194010IND,190,-240,3.5,206
20194010BOS,240,-300,6.5,212.5
20194010BRK,105,-125,1,226.5
20194010TOR,225,-275,7,215.5
20194010NYK,142,-165,2,212.5
20194010MIN,-170,145,3,223
20194010DAL,-220,180,8.5,220.5
20194010UTA,575,-850,11.5,218
20194010PHO,110,-130,1,221.5
20194020OKC,750,-1200,13,224
20194020SAS,550,-800,10,227
20194020SAC,-250,200,5,227
20194020GSW,325,-425,7.5,220.5
20194030DET,120,-140,2,205.5
20194030ORL,750,-1200,11.5,212.5
20194030WAS,400,-550,10.5,228
20194030ATL,-200,170,3,236.5
20194030MIA,-105,-115,pk,212.5
20194030BRK,-130,110,2,227.5
20194030NOP,-190,160,3,231
20194030DAL,125,-145,1.5,223.5
20194030DEN,170,-200,4.5,213
20194030PHO,-650,450,11,220.5
20194030POR,525,-750,10,216
20194030LAC,-145,125,1,229
20194040PHI,-180,150,4.5,231.5
20194040SAC,400,-550,10,228.5
20194040LAL,-1400,800,13,227
20194050WAS,-300,240,4.5,227
20194050CHO,-270,220,pk,223
20194050ORL,325,-425,7.5,226.5
20194050HOU,1600,-6000,17.5,220.5
20194050IND,-110,-110,1.5,215
20194050MIN,-160,140,1,216.5
20194050OKC,200,-250,7.5,215.5
20194050DAL,155,-185,4,215
20194050UTA,425,-600,10.5,224
20194050PHO,-140,120,1.5,232
20194050GSW,1200,-3000,17,225
20194050LAC,550,-800,12,229.5
20194050DEN,200,-250,5.5,216
20194060MIL,140,-160,7,233
20194060CHI,-650,450,9,226
20194070TOR,200,-250,6.5,214.5
20194070CLE,-425,325,9,219
20194070MIN,-300,240,4.5,230
20194070DET,225,-275,6,214.5
20194070IND,120,-140,4,218
20194070MEM,-110,-110,2,210.5
20194070MIL,650,-1000,10.5,235
20194070HOU,1800,-8000,18.5,222.5
20194070BOS,145,-170,5,216
20194070NYK,-180,150,4,226
20194070GSW,650,-1000,10.5,235.5
20194070POR,350,-450,1,217.5
20194070SAC,550,-800,9,235
20194070LAL,-1100,700,11.5,216.5
20194090DET,750,-1200,9.5,209.5
20194090CLE,-450,350,6,220.5
20194090WAS,170,-200,4,224.5
20194090MIA,220,-270,3,220
20194090CHI,110,-130,1.5,215
20194090MIN,-350,275,6.5,229
20194090NOP,-500,375,10,235
20194090DAL,300,-400,7.5,223
20194090UTA,110,-130,2.5,214.5
20194090OKC,-150,130,1,228
20194090LAL,-500,375,9,224.5
20194100MEM,-210,175,7,219
20194100MIL,-200,170,2,230
20194100SAS,900,-1600,13,218
20194100PHI,200,-250,8.5,223
20194100CHO,150,-180,1,219
20194100ATL,180,-220,1.5,225
20194100BRK,170,-200,3.5,218
20194100NYK,-420,320,8.5,208
20194100DEN,700,-1100,12,218.5
20194100POR,130,-150,7,229
20194100LAC,280,-360,4,225
20194130PHI,280,-360,7,232
20194130TOR,375,-500,7.5,216
20194130GSW,900,-1600,11,230.5
20194130DEN,220,-270,5,211.5
20194140BOS,300,-400,7,209.5
20194140POR,130,-150,4.5,224
20194140MIL,1100,-2500,11.5,219.5
20194140HOU,210,-260,5.5,219
20194150PHI,350,-450,7.5,226
20194150GSW,900,-1600,14.5,230.5
20194160TOR,550,-800,8.5,210.5
20194160DEN,260,-330,5.5,208.5
20194160POR,-105,-115,3,218
20194170BOS,275,-350,7.5,204
20194170MIL,1200,-3000,14.5,210.5
20194170HOU,240,-300,6.5,212.5
20194180BRK,-115,-105,2.5,227
20194180SAS,163,-190,2,212
20194180LAC,-500,384,7.5,237
20194190ORL,-220,184,4,210
20194190IND,115,-135,2,203.5
20194190OKC,274,-340,7,221.5
20194200BRK,-152,133,2,233
20194200SAS,144,-165,3.5,211
20194200DET,-450,351,8,217
20194200UTA,110,-130,2.5,216
20194210IND,-160,140,1,203
20194210LAC,-500,384,9,235
20194210ORL,-230,192,5,207
20194210OKC,195,-235,6,223.5
20194220DET,-900,614,10.5,218.5
20194220UTA,-130,110,1,212.5
20194230DEN,194,-232,5.5,212
20194230POR,155,-180,3.5,219.5
20194230TOR,550,-777,11,205
20194230PHI,327,-415,7.5,230
20194240GSW,1198,-2600,14,235
20194240HOU,306,-385,8.5,213
20194250SAS,130,-150,2.5,208.5
20194260LAC,-600,447,9,234.5
20194270DEN,218,-265,5.5,211
20194270TOR,237,-290,5.5,222.5
20194280MIL,326,-410,7.5,224
20194280GSW,234,-285,6.5,225.5
